expression,from,next,prev
"@monthly",2026-11-23T04:05:06,2026-12-01T00:00:00,2026-11-01T00:00:00
"@yearly",2026-01-01T00:00:00,2027-01-01T00:00:00,2026-01-01T00:00:00
"@yearly",2026-02-28T23:59:00,2027-01-01T00:00:00,
"@yearly",2026-03-01T00:00:30,2027-01-01T00:00:00,
"@yearly",2026-06-15T14:30:45,2027-01-01T00:00:00,
"@yearly",2026-07-03T14:30:45,2027-01-01T00:00:00,
"@yearly",2026-08-31T23:00:00,2027-01-01T00:00:00,
"@yearly",2026-12-31T23:59:59,2027-01-01T00:00:00,
"@yearly",2027-01-01T00:00:00,2028-01-01T00:00:00,2027-01-01T00:00:00
"@yearly",2028-02-28T12:00:00,2029-01-01T00:00:00,
"@yearly",2028-02-29T12:00:00,2029-01-01T00:00:00,
"@yearly",2026-09-01T09:59:59,2027-01-01T00:00:00,
"@yearly",2026-11-23T04:05:06,2027-01-01T00:00:00,
"@annually",2026-01-01T00:00:00,2027-01-01T00:00:00,2026-01-01T00:00:00
"@annually",2026-02-28T23:59:00,2027-01-01T00:00:00,
"@annually",2026-03-01T00:00:30,2027-01-01T00:00:00,
"@annually",2026-06-15T14:30:45,2027-01-01T00:00:00,
"@annually",2026-07-03T14:30:45,2027-01-01T00:00:00,
"@annually",2026-08-31T23:00:00,2027-01-01T00:00:00,
"@annually",2026-12-31T23:59:59,2027-01-01T00:00:00,
"@annually",2027-01-01T00:00:00,2028-01-01T00:00:00,2027-01-01T00:00:00
"@annually",2028-02-28T12:00:00,2029-01-01T00:00:00,
"@annually",2028-02-29T12:00:00,2029-01-01T00:00:00,
"@annually",2026-09-01T09:59:59,2027-01-01T00:00:00,
"@annually",2026-11-23T04:05:06,2027-01-01T00:00:00,
"@reboot",2026-01-01T00:00:00,,
"@reboot",2026-02-28T23:59:00,,
"@reboot",2026-03-01T00:00:30,,
"@reboot",2026-06-15T14:30:45,,
"@reboot",2026-07-03T14:30:45,,
"@reboot",2026-08-31T23:00:00,,
"@reboot",2026-12-31T23:59:59,,
"@reboot",2027-01-01T00:00:00,,
"@reboot",2028-02-28T12:00:00,,
"@reboot",2028-02-29T12:00:00,,
"@reboot",2026-09-01T09:59:59,,
"@reboot",2026-11-23T04:05:06,,
"0 6,18 * * *",2026-01-01T00:00:00,2026-01-01T06:00:00,2025-12-31T18:00:00
"0 6,18 * * *",2026-02-28T23:59:00,2026-03-01T06:00:00,2026-02-28T18:00:00
"0 6,18 * * *",2026-03-01T00:00:30,2026-03-01T06:00:00,2026-02-28T18:00:00
"0 6,18 * * *",2026-06-15T14:30:45,2026-06-15T18:00:00,2026-06-15T06:00:00
"0 6,18 * * *",2026-07-03T14:30:45,2026-07-03T18:00:00,2026-07-03T06:00:00
"0 6,18 * * *",2026-08-31T23:00:00,2026-09-01T06:00:00,2026-08-31T18:00:00
"0 6,18 * * *",2026-12-31T23:59:59,2027-01-01T06:00:00,2026-12-31T18:00:00
"0 6,18 * * *",2027-01-01T00:00:00,2027-01-01T06:00:00,2026-12-31T18:00:00
"0 6,18 * * *",2028-02-28T12:00:00,2028-02-28T18:00:00,2028-02-28T06:00:00
"0 6,18 * * *",2028-02-29T12:00:00,2028-02-29T18:00:00,2028-02-29T06:00:00
"0 6,18 * * *",2026-09-01T09:59:59,2026-09-01T18:00:00,2026-09-01T06:00:00
"0 6,18 * * *",2026-11-23T04:05:06,2026-11-23T06:00:00,2026-11-22T18:00:00
"20,40 */2 * * sat,sun",2026-01-01T00:00:00,2026-01-03T00:20:00,2025-12-28T22:40:00
"20,40 */2 * * sat,sun",2026-02-28T23:59:00,2026-03-01T00:20:00,2026-02-28T22:40:00
"20,40 */2 * * sat,sun",2026-03-01T00:00:30,2026-03-01T00:20:00,2026-02-28T22:40:00
"20,40 */2 * * sat,sun",2026-06-15T14:30:45,2026-06-20T00:20:00,2026-06-14T22:40:00
"20,40 */2 * * sat,sun",2026-07-03T14:30:45,2026-07-04T00:20:00,2026-06-28T22:40:00
"20,40 */2 * * sat,sun",2026-08-31T23:00:00,2026-09-05T00:20:00,2026-08-30T22:40:00
"20,40 */2 * * sat,sun",2026-12-31T23:59:59,2027-01-02T00:20:00,2026-12-27T22:40:00
"20,40 */2 * * sat,sun",2027-01-01T00:00:00,2027-01-02T00:20:00,2026-12-27T22:40:00
"20,40 */2 * * sat,sun",2028-02-28T12:00:00,2028-03-04T00:20:00,2028-02-27T22:40:00
"20,40 */2 * * sat,sun",2028-02-29T12:00:00,2028-03-04T00:20:00,2028-02-27T22:40:00
"20,40 */2 * * sat,sun",2026-09-01T09:59:59,2026-09-05T00:20:00,2026-08-30T22:40:00
"20,40 */2 * * sat,sun",2026-11-23T04:05:06,2026-11-28T00:20:00,2026-11-22T22:40:00
"0 0 */3 * *",2026-01-01T00:00:00,2026-01-02T00:00:00,2026-01-01T00:00:00
"0 0 */3 * *",2026-02-28T23:59:00,2026-03-01T00:00:00,2026-02-28T00:00:00
"0 0 */3 * *",2026-03-01T00:00:30,2026-03-02T00:00:00,2026-03-01T00:00:00
"0 0 */3 * *",2026-06-15T14:30:45,2026-06-16T00:00:00,2026-06-15T00:00:00
"0 0 */3 * *",2026-07-03T14:30:45,2026-07-04T00:00:00,2026-07-03T00:00:00
"0 0 */3 * *",2026-08-31T23:00:00,2026-09-01T00:00:00,2026-08-31T00:00:00
"0 0 */3 * *",2026-12-31T23:59:59,2027-01-01T00:00:00,2026-12-31T00:00:00
"0 0 */3 * *",2027-01-01T00:00:00,2027-01-02T00:00:00,2027-01-01T00:00:00
"0 0 */3 * *",2028-02-28T12:00:00,2028-02-29T00:00:00,2028-02-28T00:00:00
"0 0 */3 * *",2028-02-29T12:00:00,2028-03-01T00:00:00,2028-02-29T00:00:00
"0 0 */3 * *",2026-09-01T09:59:59,2026-09-02T00:00:00,2026-09-01T00:00:00
"0 0 */3 * *",2026-11-23T04:05:06,2026-11-24T00:00:00,2026-11-23T00:00:00
"45 23 28-31 * *",2026-01-01T00:00:00,2026-01-28T23:45:00,2025-12-31T23:45:00
"45 23 28-31 * *",2026-02-28T23:59:00,2026-03-28T23:45:00,2026-02-28T23:45:00
"45 23 28-31 * *",2026-03-01T00:00:30,2026-03-28T23:45:00,2026-02-28T23:45:00
"45 23 28-31 * *",2026-06-15T14:30:45,2026-06-28T23:45:00,2026-05-31T23:45:00
"45 23 28-31 * *",2026-07-03T14:30:45,2026-07-28T23:45:00,2026-06-30T23:45:00
"45 23 28-31 * *",2026-08-31T23:00:00,2026-08-31T23:45:00,2026-08-30T23:45:00
"45 23 28-31 * *",2026-12-31T23:59:59,2027-01-28T23:45:00,2026-12-31T23:45:00
"45 23 28-31 * *",2027-01-01T00:00:00,2027-01-28T23:45:00,2026-12-31T23:45:00
"45 23 28-31 * *",2028-02-28T12:00:00,2028-02-28T23:45:00,2028-01-31T23:45:00
"45 23 28-31 * *",2028-02-29T12:00:00,2028-02-29T23:45:00,2028-02-28T23:45:00
"45 23 28-31 * *",2026-09-01T09:59:59,2026-09-28T23:45:00,2026-08-31T23:45:00
"45 23 28-31 * *",2026-11-23T04:05:06,2026-11-28T23:45:00,2026-10-31T23:45:00
"0 8 1 jan *",2026-01-01T00:00:00,2026-01-01T08:00:00,
"0 8 1 jan *",2026-02-28T23:59:00,2027-01-01T08:00:00,
"0 8 1 jan *",2026-03-01T00:00:30,2027-01-01T08:00:00,
"0 8 1 jan *",2026-06-15T14:30:45,2027-01-01T08:00:00,
"0 8 1 jan *",2026-07-03T14:30:45,2027-01-01T08:00:00,
"0 8 1 jan *",2026-08-31T23:00:00,2027-01-01T08:00:00,
"0 8 1 jan *",2026-12-31T23:59:59,2027-01-01T08:00:00,
"0 8 1 jan *",2027-01-01T00:00:00,2027-01-01T08:00:00,
"0 8 1 jan *",2028-02-28T12:00:00,2029-01-01T08:00:00,
"0 8 1 jan *",2028-02-29T12:00:00,2029-01-01T08:00:00,
"0 8 1 jan *",2026-09-01T09:59:59,2027-01-01T08:00:00,
"0 8 1 jan *",2026-11-23T04:05:06,2027-01-01T08:00:00,
"0 0 1 jan,jul *",2026-01-01T00:00:00,2026-07-01T00:00:00,2026-01-01T00:00:00
"0 0 1 jan,jul *",2026-02-28T23:59:00,2026-07-01T00:00:00,
"0 0 1 jan,jul *",2026-03-01T00:00:30,2026-07-01T00:00:00,
"0 0 1 jan,jul *",2026-06-15T14:30:45,2026-07-01T00:00:00,
"0 0 1 jan,jul *",2026-07-03T14:30:45,2027-01-01T00:00:00,2026-07-01T00:00:00
"0 0 1 jan,jul *",2026-08-31T23:00:00,2027-01-01T00:00:00,
"0 0 1 jan,jul *",2026-12-31T23:59:59,2027-01-01T00:00:00,
"0 0 1 jan,jul *",2027-01-01T00:00:00,2027-07-01T00:00:00,2027-01-01T00:00:00
"0 0 1 jan,jul *",2028-02-28T12:00:00,2028-07-01T00:00:00,
"0 0 1 jan,jul *",2028-02-29T12:00:00,2028-07-01T00:00:00,
"0 0 1 jan,jul *",2026-09-01T09:59:59,2027-01-01T00:00:00,
"0 0 1 jan,jul *",2026-11-23T04:05:06,2027-01-01T00:00:00,
"30 12 * feb-mar *",2026-01-01T00:00:00,2026-02-01T12:30:00,
"30 12 * feb-mar *",2026-02-28T23:59:00,2026-03-01T12:30:00,2026-02-28T12:30:00
"30 12 * feb-mar *",2026-03-01T00:00:30,2026-03-01T12:30:00,2026-02-28T12:30:00
"30 12 * feb-mar *",2026-06-15T14:30:45,2027-02-01T12:30:00,
"30 12 * feb-mar *",2026-07-03T14:30:45,2027-02-01T12:30:00,
"30 12 * feb-mar *",2026-08-31T23:00:00,2027-02-01T12:30:00,
"30 12 * feb-mar *",2026-12-31T23:59:59,2027-02-01T12:30:00,
"30 12 * feb-mar *",2027-01-01T00:00:00,2027-02-01T12:30:00,
"30 12 * feb-mar *",2028-02-28T12:00:00,2028-02-28T12:30:00,2028-02-27T12:30:00
"30 12 * feb-mar *",2028-02-29T12:00:00,2028-02-29T12:30:00,2028-02-28T12:30:00
"30 12 * feb-mar *",2026-09-01T09:59:59,2027-02-01T12:30:00,
"30 12 * feb-mar *",2026-11-23T04:05:06,2027-02-01T12:30:00,
"0 9 * * sat",2026-01-01T00:00:00,2026-01-03T09:00:00,2025-12-27T09:00:00
"0 9 * * sat",2026-02-28T23:59:00,2026-03-07T09:00:00,2026-02-28T09:00:00
"0 9 * * sat",2026-03-01T00:00:30,2026-03-07T09:00:00,2026-02-28T09:00:00
"0 9 * * sat",2026-06-15T14:30:45,2026-06-20T09:00:00,2026-06-13T09:00:00
"0 9 * * sat",2026-07-03T14:30:45,2026-07-04T09:00:00,2026-06-27T09:00:00
"0 9 * * sat",2026-08-31T23:00:00,2026-09-05T09:00:00,2026-08-29T09:00:00
"0 9 * * sat",2026-12-31T23:59:59,2027-01-02T09:00:00,2026-12-26T09:00:00
"0 9 * * sat",2027-01-01T00:00:00,2027-01-02T09:00:00,2026-12-26T09:00:00
"0 9 * * sat",2028-02-28T12:00:00,2028-03-04T09:00:00,2028-02-26T09:00:00
"0 9 * * sat",2028-02-29T12:00:00,2028-03-04T09:00:00,2028-02-26T09:00:00
"0 9 * * sat",2026-09-01T09:59:59,2026-09-05T09:00:00,2026-08-29T09:00:00
"0 9 * * sat",2026-11-23T04:05:06,2026-11-28T09:00:00,2026-11-21T09:00:00
